Nome,Categoria,Regione,Colore,Gusto,Sapore,PDF URL
"Aglianico del Taburno","DOCG","Campania","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"Alta Langa","DOCG","Piemonte","","","",""
"Amarone della Valpolicella","DOCG","Veneto","","","",""
"Asolo - Prosecco","DOCG","Veneto","","","",""
"Asti","DOCG","Piemonte","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"Barbaresco","DOCG","Piemonte","","","",""
"Barbera d'Asti","DOCG","Piemonte","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"Bardolino Superiore","DOCG","Veneto","","","",""
"Barolo","DOCG","Piemonte","","","",""
"Brachetto d'Acqui o Acqui","DOCG","Piemonte","","","",""
"Brunello di Montalcino","DOCG","Toscana","","","",""
"Cannellino di Frascati","DOCG","Lazio","","","",""
"Carmignano","DOCG","Toscana","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"Cerasuolo di Vittoria","DOCG","Sicilia","","","",""
"Cesanese del Piglio o Piglio","DOCG","Lazio","","","",""
"Chianti","DOCG","Toscana","","","",""
"Chianti Classico","DOCG","Toscana","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"Colli di Conegliano","DOCG","Veneto","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"Colli Orientali del Friuli Picolit","DOCG","Friuli-Venezia Giulia","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
"UNKNOWN","DOCG","UNKNOWN","","","",""
